DEPARTAMENTO,MUNICIPIO(S),DESTINO,NOMBRE,IMPACTO,APORTES NACIÓN,CONTRAPARTIDA,RADICACION SALIDA,ESTADO FÍSICO ACTUAL,AVANCE FÍSICO ACTUAL
ANTIOQUIA,Concordia(ANT),Acueducto/Urbana,CONSTRUCCION Y OPTIMIZACION DE LA LINEA DE ADUCCION DEL SISTEMA DE ACUEDUCTO DE LA ZONA URBANA DEL MUNICIPIO DE CONCORDIA,"El impacto mayor se dará a la reducción de pérdidas técnicas que se espera pasen del 33% actual al 25% en un término no menor de tres años. Se reducirá la vulnerabilidad del sistema, que actualmente sufre por daños reiterados al encontrar un alto porcentaje de la tubería expuesta a cielo abierto y permitirá mayor eficiencia en su mantenimiento operacional, ampliando los promedios de continuidad de 22 horas a 24 horas diarias.",0.00,1277568660.00,2014EE0091076,Liquidado,100
MAGDALENA,Concordia(MAG),Acueducto/Urbana,AMPLIACION Y OPTIMIZACION DEL SISTEMA DE ACUEDUCTO DEL MUNICIPIO DE CONCORDIA(REFORMULACION),"CON LA MATERIALIZACIÓN DE LAS OBRAS, SE LOGRARÁ UNA MAYOR COBERTURA EN EL SERVICIO, SE SUMINSTRARÁ BUENA CALIDAD DE AGUA CON EFICIENCIA EN LA DISTRIBUCIÓN, CANTIDAD Y CONTINUIDAD DEL SERVICIO, MEJORANDO LAS CONDICIONES DE VIDA DE LOS HABITANTES DEL MUNIC Población Beneficiada : 7015 Nuevas Conexiones : 7015 Cobertura : 100%-100% Continuidad : 25%-100% Empleos Generados : 4583",753156582.00,753156582.00,Sin Información,En Liquidación,100
MAGDALENA,Concordia(MAG),Acueducto/Urbana,PLAN DE MANEJO INTEGRAL DE LA CUENCA DE LA CIÉNAGA DE CERRO DE SAN ANTONIO,Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 24,0.00,116876000.00,Sin Información,Liquidado,100
MAGDALENA,Concordia(MAG),Alcantarillado/Urbana,CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO DEL MUNICIPIO DE CONCORDIA,Conexiones domiciliarias al 100% de la población del casco urbano del municipio.,0.00,8985634275.00,2014EE0102466,Liquidado,100
CHOCO,Condoto(CHO),Alcantarillado/Urbana,RECONSTRUCCION DEL SISTEMA DE ALCANTARILLADO COMBINADO EN EL SECTOR HOGAR INFANTIL MUNICIPIO DE CONDOTO. *,"SE BENEFICIARON 525 HABINTANTES AFECTADOS POR LA OLA INVERNAL EN CONDOTO Población Beneficiada : 638 Nuevas Conexiones : NA Cobertura : 0,46 Continuidad : 24 Empleos Generados : 46",224106095.00,0.00,5100-E2-111491,Liquidado,100
CHOCO,Condoto(CHO),Alcantarillado/Urbana,REHABILITACION DEL SISTEMA DE ALCANTARILLADO EN EL BARRIO CABECERA SECTOR MIGUEL ELECTRICO EN LA ZONA URBANA DE CONDOTO *,"SE BENEFICIARON 312 HABINTANTES AFECTADOS POR LA OLA INVERNAL EN CONDOTO Población Beneficiada : 562 Nuevas Conexiones : NA Cobertura : 0,46 Continuidad : 24 Empleos Generados : 42",203524800.00,0.00,5100-E2-111488,Liquidado,100
CHOCO,"Condoto(CHO), Istmina(CHO), Medio San Juan(CHO)",Aseo/Urbana,"RELLENO SANITARIO MANUAL REGIONAL PARA LOS MUNICIPIOS DE ISTMINA, CONDOTO Y MEDIO SAN JUAN *","SE BENEFICIARON LOS 33,494 HABITANTES DE LOS MUNICIPIOS DE CONDOTO, ISTMINA Y MEDIO SAN JUAN CON LA CONSTRUCCION DEL RELLENO SANITARIO Población Beneficiada : 19329 Nuevas Conexiones : 19329 Cobertura : 1 Continuidad : 24 Empleos Generados : 89",375000000.00,60000000.00,Sin Información,Liquidado,100
SANTANDER,Confines(SAN),Acueducto/Urbana,OPTIMIZACION DEL SISTEMA DE ACUEDUCTO URBANO DEL MUNICIPIO DE CONFINES,"LA BOCATOMA REQUIERE DE UN REFORZAMIENTO ESTRUCTURAL PARA MEJORAR SU FUNCIONAMIENTO, SE INCREMENTARÁ LA CAPACIDAD DE LA PLANTA DE TRATAMIENTO Y SE OPTIMIZARÁ LA RED DE DISTRIBUCIÓN",0.00,122702268.00,7320-E2-51558,Liquidado,100
SANTANDER,Confines(SAN),Acueducto/Urbana,OPTIMIZACIÓN Y MEJORAMIENTO DEL SISTEMA DE CAPTACIÓN DEL ACUEDUCTO URBANO DEL MUNICIPIO DE CONFINES,"La estructura de captación actualmente presenta fallas estructurales representadas en agrietamientos y desgaste por causa de la socavación, lo cual impide que la estructura logre captar el caudal de demanda, por tal razón en épocas de estiaje se presenta la discontinuidad del servicio al no lograr abastecer el volumen necesario para consumo del Casco Urbano, situación que se repite en la vereda Vega Limón, en donde se puede evidenciar el mal estado estructural de la bocatoma, razón por la cual en temporadas de estiaje la lámina de agua se desvía hacia un costado de la rejilla, presentando discontinuidad del servicio. Con la ejecución del proyecto se pretende mejorar los siguientes indicadores: * Continuidad de servicio casco urbano: 12 horas a 24 horas. Continuidad de servicio vereda Vega limón: 10 horas a 24 horas. * Población beneficiada actual (2020) casco urbano: 1.210 habitantes. Población beneficiada actual (2020) vereda Vega Limón: 224 habitantes. * Población beneficiada proyectada (2045) casco urbano: 1.858 habitantes. Población beneficiada proyectada (2045) vereda Vega Limón: 254 habitantes.",340010576.00,233340591.00,2020EE0094282,En Liquidación,100
NARIÑO,Consaca(NAR),Alcantarillado/Rural,RECONSTRUCCION ALCANTARILLADO SANITARIO VEREDA BOMBONA MUNICIPIO DE CONSACA *,"RESTABLECIMIENTO DEL SISTEMA DE ALCANTARILLADO DE LA VEREDA BOMBONA DEL MUNICIPIO DE CONCASA, MEJORANDO LA CALIDAD DE VIDA DE SUS HABITANTES Población Beneficiada : 2486 Nuevas Conexiones : NA Cobertura : 1 Continuidad : 24 H Empleos Generados : 190",928044074.00,0.00,5100-E2-85669,Liquidado,100
NARIÑO,Contadero(NAR),Acueducto/Rural,OPTIMIZACION ACUEDUCTO VEREDAL DE SANTO DOMINGO DEL AREA DE INFLUENCIA DE PARAMO PAJA BLANCA MUNICIPIO DE CONTADERO,"Población Beneficiada : 310 Nuevas Conexiones : 310 Cobertura : 0,9 Continuidad : 24 Empleos Generados : 25",122862492.00,0.00,Sin Información,Liquidado,100
NARIÑO,Contadero(NAR),Acueducto/Rural,OPTIMIZACION ACUEDUCTO VEREDAL DE SIMON BOLIVAR DEL AREA DE INFLUENCIA DE PARAMO PAJA BLANCA MUNICIPIO DE CONTADERO,"Población Beneficiada : 324 Nuevas Conexiones : 324 Cobertura : 0,9 Continuidad : 24 Empleos Generados : 38",185346258.00,0.00,Sin Información,Liquidado,100
NARIÑO,Contadero(NAR),Acueducto/Urbana,AMPLIACION Y OPTIMIZACION ACUEDUCTO URBANO MUNICIPIO DE EL CONTADERO *,POR MEDIO DE ESTE PROYECTO SE MEJORARA LA CALIDAD Y LA CONTINUIDAD DEL SERVICIO,422258458.00,359701650.00,7320-E2-72989,Liquidado,100
NARIÑO,Contadero(NAR),Alcantarillado/Urbana,OPTIMIZACION SISTEMA DE ALCANTARILLADO COMBINADO CASCO URBANO MUNICIPIO DE EL CONTADERO *,"SE CONSTRUIRA UN COLECTOR QUE PERMITIRA CONDUCIR EL MAYOR PORCENTAJE DE CAUDAL DE AGUAS RESIDUALES A LA FUTURA PTAR, MEJORANDO LA CALIDAD DE VIDA DEL SECTOR Y REDUCIENDO LA CONTAMINACION PUNTUAL POR AGUAS SERVIDAS EN CONCORDANCIA CON EL PSMV.",518670777.00,330053487.00,7320-E2-72970,Liquidado,100
SANTANDER,Contratacion(SAN),Acueducto/Urbana,CONSTRUCCION PLAN MAESTRO DE ACUEDUCTO DEL CASCO URBANO DEL MUNICIPIO DE CONTRATACION,"SE MEJORARA LA CONTINUIDAD DEL SERVICIO DEL 75% ACTUAL A OBTENER EL 100% CON LA CONSTRUCCION DE LAS OBRAS, EL SISTEMA ACTUAL DE ACUEDUCTO NO TIENE LA CAPACIDAD DE CAPTAR Y TRANSPORTAL EL CAUDAL DE AGUA NECESARIO.",557314409.00,1440811801.00,7323-E2-124728,Liquidado,100
N DE SANTANDER,Convención(N D),Acueducto/Urbana,RECUPERACION LINEA DE CONDUCCION DEL ACUEDUCTO MUNICIPAL DE CONVENCION,Sin Información,159990990.00,0.00,5100-E2-58120,Liquidado,100
N DE SANTANDER,Convención(N D),Acueducto/Urbana,"REPOSICIÓN DE UNOS TRAMOS DE LA RED DE DISTRIBUCIÓN DEL ACUEDUCTO EN TUBERÍA PVC, QUEBRADA EL ARPERO DEL MUNICIPIO DE CHITAGÁ, DEPARTAMENTO DE NORTE DE SANTANDER.",Población Beneficiada : 1780 Nuevas Conexiones : 3540 Cobertura : Continuidad : Empleos Generados : 20,99992546.00,0.00,Sin Información,Liquidado,100
N DE SANTANDER,"Convención(N D), Teorama(N D), Tibú(N D)",Acueducto/Rural,"CONSTRUCCION REDES DE DISTRIBUCION DE AGUA POTABLE EN LA COMUNIDAD INDIGENA DE BRUBUCANINA, MUNICIPIO DE TEORAMA, CONSTRUCCION DE REDES DE DISTRIBUCION DE AGUA POTBALE EN LA COMUNIDAD INDIGENA DE KAXBARINGKAYRA, MUNICIPIO DE CONVENCION, CONSTRUCCION REDES DE DISTRIBUCION DE AGUA POTABLE EN LA COMUNIDAD INDIGENA DE CATALAURA, MUNICIPIO DE TIBU Y CONSTRUCCION SISTEMA DE ACUEDUCTO EN LA COMUNIDAD INDIGENA DE OCBABUDA, MUNICIPIO DE TEORAMA","Aumentar la cobertura en la prestación del servicio del 20% al 100% . Garantizar suministro de agua potable a las comunidades indígenas Brubucanina, Ocbabuda, Catalaura, Kaxbaringkayra reduciendo las características físicas, química y micribiologicas a las siguientes valores: Brubucanina: UTN 9.7 a 2.0 - Color 22 a 15- Coliformes 445 a 0 Kaxbaringkayra: UTN 8.5 a 2.0 - color 20 a 15- Coliformes 380 a 0 Catalaura: UTN 8.2 a 2.0 - color 18 a 15 - coliformes 393 a 0 Ocbabuda UTN 7.7 a 2.0 - Color 19 a 15 - Coliformes 315 a 0",0.00,1852203268.00,2015EE0036056,Liquidado,100
BOYACA,Coper(BOY),Alcantarillado/Urbana,CONSTRUCCION DE UNIDADES SANITARIAS EN LA ZONA RURAL,Población Beneficiada : 846 Nuevas Conexiones : 846 Cobertura : 0% a 100% Continuidad : Empleos Generados : 119,582605255.00,0.00,Sin Información,Liquidado,100
BOLIVAR,Córdoba(BOL),Acueducto/Urbana,"CONSTRUCCION, AMPLIACION, OPTIMIZACION Y/O REHABILITACION DEL SISTEMA DE ACUEDUCTO DE LA CABECERA MUNICIPAL DE CORDOBA(REFORMULACION) *","CON LA IMPLEMENTACION DEL PROYECTO SE GARANTIZA LA CONTINUIDAD, CALIDAD Y COBERTURA EN LA PRESTACION DEL SERVICIO DE ACUEDUCTO INCIDIENDO DIRECTAMENTE EN EL MEJORAMIENTO DE LA CALIDAD DE VIDA DE LOS HABITANTES DE LA CABECERA MUNICIPAL DE CORDOBA",0.00,2597630581.00,5100-E2-124633,Liquidado Contrato Obra,100
BOLIVAR,Córdoba(BOL),Acueducto/Urbana,RECONSTRUCCION DE LAS REDES DE AGUA POTABLE DEL ACUEDUCTO DE TACAMOCHO MUNICIPIO DE CÓRDOBA.,"Con el proyecto se atiende la afectación en el sistema de acueducto deTocamocho del municipio de Córdoba que se evidenció durante el fenomeno de la niña 2010-2011, Población Beneficiada : 2847 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24 H Empleos Generados : 13",65803725.00,0.00,7320-E2-19938,Liquidado,100
BOLIVAR,Córdoba(BOL),Alcantarillado/Urbana,CONSTRUCCION DE JARILLON PARA PREVENIR INUNDACIONES DE LAS INSTALACIONES DEL POZO PROFUNDO Y LA CASETA DE BOMBEO EN SANTA LUCIA MUNICIPIO DE CORDOBA.,mejoramiento de la calida de servicio y cobertura Población Beneficiada : 104 Nuevas Conexiones : 0 Cobertura : ND Continuidad : 24 H Empleos Generados : 38,191092126.00,0.00,7320-E2-19917,Liquidado,100
BOLIVAR,Córdoba(BOL),Alcantarillado/Urbana,CONTRUCCION DEL SISTEMA DE ALCANTARILLADO DE LA CABECERA MUNICIPAL DE CORDOBA,Con la ejecución de proyecto se garantizará la cobertura del 100% de redes de alcantarillado sanitario y se realizará el tratamiento del 100% del agua residual domestica.,3780000000.00,11539441154.00,2015EE0049177,Liquidado Contrato Obra,100
NARIÑO,Cordoba(NAR),Acueducto/Urbana,MEJORAMIENTO SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE CABECERA MUNICIPAL DEL MUNICIPIO DE CORDOBA,"MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE DEL MUNICIPIO DE CORDOBA, AMPLIANCO COBERTURA Y OFRECIENDO CONTINUIDAD DEL SERCICIO.",0.00,1255404751.00,5100-E2-34575,En Liquidación,43
QUINDIO,Cordoba(QUI),Acueducto/Urbana,CONSTRUCCIÓN TANQUE DE ALMACENAMIENTO Y OPTIMIZACIÓN SISTEMA DE ACUEDUCTO DEL MUNICIPIO DE CORDOBA,Población Beneficiada : 3073 Nuevas Conexiones : N.A. Cobertura : N.A. Continuidad : N.A. Empleos Generados : 25,120800923.00,0.00,5100-E2-78427,Liquidado,100
QUINDIO,Cordoba(QUI),Alcantarillado/Urbana,OPTIMIZACION REDES DE ALCANTARILLADO SECTORES VARIOS CASCO URBANO MUNICIPIO DE CORDOBA (REFORMULACIÓN) *,"EL OBJETIVO ES MEJORAR LA CALIDAD DE VIDA DE LA POBLACION DEL MUNICIPIO DE CORDOBA DISMINUYENDO EL ALTO INDICE DE ENFERMEDADES POR OLORES, POR FORMACION DE VECTORES QUE ATENTAN CONTRA LA SALUD PUBLICA Y A SU VEZ MEJORAR LAS CONDICIONES DEL SERVICIO DE ALC Población Beneficiada : 3073 Nuevas Conexiones : N.A. Cobertura : N.A. Continuidad : N.A. Empleos Generados : 70",366360403.00,0.00,5100-E2-78454,Liquidado,100
QUINDIO,Cordoba(QUI),Alcantarillado/Urbana,CONSTRUCCIÓN COLECTOR INTERCEPTOR LA SIBERIA MUNICIPIO DE CORDOBA,"EL OBJETIVO ES MEJORAR LA CALIDAD DE VIDA DE LA POBLACION DEL MUNICIPIO DE CORDOBA DISMINUYENDO EL ALTO INDICE DE ENFERMEDADES POR OLORES, POR FORMACION DE VECTORES QUE ATENTAN CONTRA LA SALUD PUBLICA Y A SU VEZ MEJORAR LAS CONDICIONES DEL SERVICIO DE ALC Población Beneficiada : 3073 Nuevas Conexiones : N.A. Cobertura : N.A. Continuidad : N.A. Empleos Generados : 79",386112716.00,0.00,5100-E2-78467,Liquidado,100
QUINDIO,Cordoba(QUI),Alcantarillado/Urbana,MANEJO DE LAS AGUAS DE LAS QUEBRADAS LA MOSCA Y LA VENENOSA (REFORMULACION),Población Beneficiada : Nuevas Conexiones : N.D. Cobertura : N.D. Continuidad : N.D. Empleos Generados : 502,2355608184.00,94905969.00,Sin Información,Liquidado,100
QUINDIO,Cordoba(QUI),Alcantarillado/Urbana,COLECTORES PARA ALCANTARILLADO,Población Beneficiada : 3897 Nuevas Conexiones : N.D. Cobertura : N.D. Continuidad : N.D. Empleos Generados : 35,170000000.00,0.00,Sin Información,Liquidado,100
CAUCA,Corinto(CAU),Acueducto/Rural,REHABILITACION ACUEDUCTO VEREDA BUENAVISTA MUNICIPIO DE CORINTO,Población Beneficiada : 280 Nuevas Conexiones : 0 Cobertura : N.A. Continuidad : N.A. Empleos Generados : 10,49000000.00,0.00,5100-E2-84722,Liquidado,100
CAUCA,Corinto(CAU),Acueducto/Urbana,CONSTRUCCION OBRAS DE PROTECCION PARA BOCATOMA Y VIADUCTO MUNICIPIO DE CORINTO,Población Beneficiada : 12480 Nuevas Conexiones : 0 Cobertura : N.A. Continuidad : N.A. Empleos Generados : 12,58800000.00,0.00,5100-E2-89550,Liquidado,100
CAUCA,Corinto(CAU),Acueducto/Urbana,OPTIMIZACION REDES DE DISTRIBUCION ACUEDUCTO MUNICIPAL DE CORINTO,"CON EL PROYECTO SE PRETENDE MEJORAR LA CONTINUIDAD DEL SERVICIO Y EVITAR LAS INTERRUPCIONES EN LA PRESTACIóN DEL SERVICIO, PARA LO CUAL SE INCLUYó SECTORIZACIóN.",1058108319.00,0.00,2014EE0102114,Liquidado,100
CAUCA,Corinto(CAU),Acueducto/Urbana,"MEJORAMIENTO, AMPLIACION DEL ACUEDUCTO CABECERA MUNICIPAL - CORINTO",Población Beneficiada : 13200 Nuevas Conexiones : N.A. Cobertura : N.D. Continuidad : N.D. Empleos Generados : 80,284380614.00,106537594.00,Sin Información,Liquidado,100
CAUCA,Corinto(CAU),Acueducto/Urbana,OPTIMIZACION PLANTA DE TRATAMIENTO DE AGUA POTABLE EN EL MUNICIPIO DE CORINTO,Con el proyecto se pretende abastecer el 100% de la población en los días de mercado que aumenta el requerimiento de volumen de compensación por presencia de la población rural y abastecer las nuevas urbanizaciones que actualmente se construyen.,890691508.00,0.00,2014EE0067630,Liquidado,100
SANTANDER,Coromoro(SAN),Acueducto/Rural,CONSTRUCCION DEL ACUEDUCTO PARA EL CORREGIMIENTO DE CINCELADA MUNICIPIO DE COROMORO,Población Beneficiada : 476 Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 129,0.00,630339634.00,5100-E2-70280,Liquidado,100
SUCRE,Corozal(SUC),Acueducto/Urbana,"OPTIMIZACIÓN Y EXTENSIÓN DE REDES DE DISTRIBUCIÓN DE AGUA POTABLE, PARA LOS BARRIOS : LUIS CARLOS GALÁN, NUEVA ESPERANZA, BRUSELAS, SAGRADO CORAZÓN, LAS DELICIAS , CARTAGENA DE INDIAS, NELSON MARTELO, NAVIDAD, LOS CEREZOS, SAN CARLOS, 11 DE NOVIEMBRE Y DE LA ZONA NORTE EN EL MUNICIPIO DE COROZAL, DEPARTAMENTO DE SUCRE",SE AUMENTARá LA COBERTURA EN UN 2.90% Y EN TOTAL SE BENEFICIARA A 14.941 HABITANTES EN EL AñO 2015 Y 20.379 HABITANTES EN EL AñO 2045 (USUARIOS NUEVOS Y EXIISTENTES).,6594912223.00,0.00,2015EE0057427,Liquidado,100
SUCRE,Corozal(SUC),Alcantarillado/Urbana,CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO SANITARIO PARA LOS BARRIOS LA PAZ Y MONSERRATE EN LA ZONA URBANA DEL MUNICIPIO DE COROZAL,"Los habitantes del los barrios La Paz y Monserrate del casco urbano del municipio de Corozal en su mayoría no tienen conexión con el alcantarillado sanitario del municipio. Se incrementa la cobertura del sistema de alcantarillado del 89,7% al 92% creando 573 nuevas conexiones. Se incrementa la población beneficiada con el servicio de alcantarillado en 2577 habitantes que proyectada al período de diseño corresponde a 3515 habitantes. Se eliminan las descargas a cielo abierto realizadas en los barrios La Paz y Monserrate.",2436836416.00,0.00,2016EE0074668,Liquidado,100
CORDOBA,Cotorra(COR),Acueducto/Urbana,"CONSTRUCCION SEGUNDA ETAPA DE ACUEDUCTO REGIONAL, MUNICIPIO DE COTORRA.",Población Beneficiada : Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 442,0.00,2157609999.00,Sin Información,Liquidado,100
CORDOBA,Cotorra(COR),Acueducto/Urbana,"CONSTRUCCIÓN DEL SISTEMA DE ACUEDUCTO REGIONAL DE COTORRA (ABROJAL, LOS GOMEZ, EL PASO DE LAS FLORES, LOS CEDROS, LA CULEBRA, LAS AREPAS, TREMENTINO Y MORALITO)",Población Beneficiada : 15028 Nuevas Conexiones : NA Cobertura : Continuidad : Empleos Generados : 567,2000000000.00,766130000.00,Sin Información,Liquidado,100
CORDOBA,Cotorra(COR),"Acueducto/Urbana, Acueducto/Rural",CONSTRUCCION Y OPTIMIZACION DE AGUA POTABLE DEL MUNICIPIO DE COTORRA ÁREA URBANA Y RURAL (ETAPA V REGIONAL COTORRA),"Con la ejecución del proyecto se amplia cobertura del servicio que pasa del 79% actual al 100% una vez concluido el mismo. Se amplían conexiones de acueducto que se indican en zona rural son actualmente de 520 a 980. además, se impacta población rural de bajos recursos y se plantea con la instalación de micromedición bajar las pérdidas en el sistema a cuando menos al 55% en los siguientes dos años de concluida la obra.",0.00,948813906.00,2014EE0109300,Liquidado,100
TOLIMA,Coyaima(TOL),Acueducto/Rural,"OPTIMIZACIÓN SISTEMA DE ACUEDUCTO DEL CENTRO POBLADO DE CASTILLA, MUNICIPIO DE COYAIMA","El proyecto impacta de manera positiva y directa en el bienestar social de la población mas vulnerable del municipio de Coyaima, localizada en el centro poblado de Castilla, que actualmente no cuenta con el servicio básico de acueducto y alcantarillado; toda vez que dicha población cuenta con una incipiente infraestructura antitécnica que causa graves riesgos de salubridad. Con el proyecto este importante centro poblado mejorará los indices de salud y por consiguiente su calidad de vida; la cobertura del servicio pasará de un 10% a un 100% , con continuidad de 24 horas y con un indice de riesgo nulo.",2562701063.00,0.00,2018EE0095338,En Liquidación,100
TOLIMA,Coyaima(TOL),Acueducto/Urbana,OPTIMIZACION DEL SISTEMA DE SUMINISTRO DE AGUA PARA EL MUNICIPIO DE COYAIMA,"AMPLIACION DE COBERTURA DEL 85% AL 100%, CONTINUIDA DEL SERVICIO DE 8 HORAS A 24 HORAS, IMPLEMENTACION DE MICROMEDICION",1838609180.00,451541746.00,7323-E2-60926,Liquidado,100
TOLIMA,Coyaima(TOL),Acueducto/Urbana,OPTIMIZACION DEL SISTEMA DE SUMINISTRO DE AGUA PARA EL MUNICIPIO DE COYAIMA,"AMPLIACION DE COBERTURA DEL 85% AL 100%, CONTINUIDA DEL SERVICIO DE 8 HORAS A 24 HORAS, IMPLEMENTACION DE MICROMEDICION",1838609180.00,451541746.00,7323-E2-60926,Liquidado,100
TOLIMA,"Coyaima(TOL), Natagaima(TOL)",Aseo/Urbana,DISEÑO Y CONSTRUCCION DE UN RELLENO SANITARIO REGIONAL EN EL MUNICIPIO DE NATAGAIMA Y COYAIMA (REFORMULACION),Población Beneficiada : 728 Nuevas Conexiones : Cobertura : Continuidad : Empleos Generados : 117,556000000.00,17000000.00,Sin Información,Liquidado,100
TOLIMA,"Coyaima(TOL), Natagaima(TOL)",Aseo/Urbana,AMPLIACIÓN DEL RELLENO SANITARIO : REGIONAL PACANDÉ DE LOS MUNICIPIOS DE NATAGAIMA Y COYAIMA,"CON LA AMPLIACION DEL RELLENO SANITARIO PACANDE SE TENDRA RELLENO SANITARIO REGIONAL QUE BENEFICIARá A UN TOTAL DE 27406 HAB CON UNA PROYECCION DE VIDA UTIL DEL RELLENO A 9 AñOS CON LA CELDA NUEVA A CONSTRUIRA, VINCULANDO ASI AL MUNICPIO DE cOYAIMA Y A LOS CENTROS POBLADOS DE CASTILLA, GUAYAQUIL, VELú Y LA PALMITA.",2961705016.00,0.00,Sin Información,Liquidado Contrato Obra,100
ARAUCA,Cravo Norte(ARA),Aseo/Urbana,"CONSTRUCCIÓN DE LA SEGUNDA ETAPA DEL RELLENO SANITARIO DEL MUNICIPIO DE CRAVO NORTE, DEPARTAMENTO DE ARAUCA","Con el presente proyecto se garantiza la continuidad del servicio de disposición final del Municipio de Cravo Norte, beneficiando a 4.740 habitantes",0.00,429891563.00,2020EE00115333,Liquidado Contrato Obra,100
NARIÑO,Cuaspud(NAR),Acueducto/Rural,CONSTRUCCION DEL SISTEMA DE ACUEDUCTO PARA LA VEREDA MACAS MUNICIPIO DE CUASPUD-CARLOSAMA MEDIANTE LA IMPLEMENTACION DE POZOS PROFUNDOS,"MEDIANTE EL SUMINISTRO DE AGUA POTABLE A LA COMUNIDAD INDÍGENA DE LA VEREDA MACAS, SE MEJORA LA CALIDAD DE VIDA DE ESTA POBLACIÓN QUE CORRESPONDE A UN 34% DE LA POBLACIÓN TOTAL DEL MUNICIPIO DE CUASPUD CARLOSAMA.",3223624814.00,248683080.00,7320-E2-20551,En Liquidación,100
NARIÑO,Cuaspud(NAR),Alcantarillado/Urbana,AMPLIACION Y OPTIMIZACION DEL SISTEMA DE ALCANTARILLADO DE LA CABECERA MUNICIPAL DE CUASPUD FASE I,Con la ejecución del proyecto de mejora la cobertura del 87 al 100% y se garantiza la recolección del 70 % del municipio hasta el sitio donde se adelanta la obra de construcción de la PTAR. Población beneficiada 3408 habitantes.,0.00,4223989737.00,2015EE0105825,Liquidado,100
BOYACA,Cubara(BOY),Acueducto/Urbana,OPTIMIZACION SISTEMA DE ACUEDUCTO DEL MUNICIPIO DE CUBARA,"REDUCIR LA VULNERABILIDAD EN LA RED DE DISTRIBUCION, AUMENTAR PRESIONES EN EL BARRIO LAS VILLAS (POR ENCIMA DE LA MINIMA) Y OPTIMIZACION DE LA PTAP",0.00,405427528.00,7320-E2-69122,Liquidado,100
BOYACA,Cubara(BOY),Alcantarillado/Urbana,CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO PLUVIAL DEL MUNICIPIO DE CUBARA,"EL CASCO URBANO SE UBICA EN EL PIE DE MONTE LLANERO RAZóN POR LA CUAL LAS PRECIPITACIONES SON RECURRENTES, LA GRAN MAYORíA DEL AGUA SE GENERA EN LA PARTE ALTA DEL MUNICIPIO. SIENDO ASí, CON EL PROYECTO SE PRETENDE GARANTIZAR LA EVACUACIóN OPORTUNA DE LAS AGUAS LLUVIAS, EVITANDO PONER EN RIESGO LA VIDA DE LOS HABITANTES DEL CASCO URBANO DEL MUNICIPIO CONDUCIENDO LAS AGUAS LLUVIAS A TRAVéS DEL SISTEMA DE ALCANTARILLADO PLUVIAL EL CUAL SERá AMPLIADO EN SU CAPACIDAD HIDRáULICA Y COBERTURA. PASA DE TENER 2777,60 M DE TUBERíA INSTALADA A 3436 APROXIMADAMENTE, DE 54 POZOS DE INSPECCIóN A 62 Y DE 22 CAJAS LATERALES QUE TRABAJAN COMO SUMIDEROS A 140 SUMIDEROS.",0.00,3694973643.00,2017EE0082056,En Liquidación,100
META,"Cubarral(MET), El Castillo(MET), El Dorado(MET), La Macarena(MET), La Uribe(MET), Lejanias(MET), Mesetas(MET), San Juan De Arama(MET), Vista Hermosa(MET)",Acueducto/Urbana,"ESTUDIOS Y DISEÑOS DE LOS PMAA EN LAS AREAS URBANAS EN LOS MUNICIPIOS DE CUBARRAL, EL CASTILLO, EL DORADO, LEJANIAS, MACARENA, MESETAS, SAN JUAN DE ARAMA, URIBE Y VISTA HERMOSA, META",Población Beneficiada : 36000 Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 503,0.00,2451466002.00,Sin Información,Liquidado,100
META,"Cubarral(MET), El Castillo(MET), El Dorado(MET), La Macarena(MET), La Uribe(MET), Lejanias(MET), Mesetas(MET), San Juan De Arama(MET), Vista Hermosa(MET)",Acueducto/Urbana,"ESTUDIOS Y DISEÑOS DE LOS PMAA EN LAS AREAS URBANAS EN LOS MUNICIPIOS DE CUBARRAL, EL CASTILLO, EL DORADO, LEJANIAS, MACARENA, MESETAS, SAN JUAN DE ARAMA, URIBE Y VISTA HERMOSA, META",Población Beneficiada : 36000 Nuevas Conexiones : NA Cobertura : NA Continuidad : NA Empleos Generados : 503,0.00,2451466002.00,Sin Información,Liquidado,100
META,"Cubarral(MET), Fuente De Oro(MET), Granada(MET), San Martin(MET)",Acueducto/Urbana,"CONSTRUCCION PLANTA DE TRATAMIENTO DE AGUA POTABLE - FASE I ETAPA II, ACUEDUCTO REGIONAL DEL ARIARI",Población Beneficiada : 51322 Nuevas Conexiones : NA Cobertura : Continuidad : Empleos Generados : 349,1700000000.00,0.00,Sin Información,Liquidado,100
